x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,value,Timestamp
0,2,1,0,0,3,0,3,2,1,2,0,-0.27253762954984406,3370
3,0,0,2,1,3,3,1,1,2,2,1,-1.0661086493179361,3396
2,0,2,1,2,2,2,0,0,1,2,3,-0.8075949294340162,3415
3,0,0,0,3,0,1,3,2,0,0,2,-0.5400662794919301,3434
1,3,1,2,2,3,3,3,2,3,3,3,-0.3432756960064599,3462
2,1,1,2,1,0,0,3,3,2,1,2,-0.5400662794919301,3486
0,1,3,1,3,3,2,0,3,3,2,3,-0.7278419329192339,3514
2,3,1,1,3,1,2,0,2,3,2,1,-0.5400662794919301,3541
0,2,1,0,2,2,2,2,3,2,3,0,-0.807594929434016,3560
0,3,3,0,0,3,0,2,3,2,3,2,-0.2725376295498442,3582
1,0,0,1,1,0,2,3,3,1,3,0,-0.5400662794919301,3605
3,1,2,2,2,0,3,3,1,2,3,2,-0.33426076594829357,3630
0,2,1,0,2,2,0,1,2,1,1,0,-0.8075949294340162,3648
0,3,3,0,0,2,2,0,1,2,1,3,-0.5400662794919301,3669
1,3,3,1,2,0,1,1,3,3,2,0,-0.5400662794919301,3695
2,2,2,3,3,2,3,2,0,1,0,0,-0.5400662794919301,3716
1,1,2,1,2,3,2,1,0,2,2,1,-0.5400662794919301,3741
1,2,0,3,1,2,0,3,3,2,2,2,-0.5400662794919301,3765
1,1,2,3,3,2,2,3,3,0,0,1,-0.8075949294340162,3791
1,3,1,3,0,2,0,1,2,0,3,3,-0.3432756960064599,3812
3,2,2,0,3,2,0,1,0,1,3,1,-0.7368568629774003,3835
2,0,2,1,2,1,3,0,2,1,2,0,0.004005950450408191,3856
3,1,3,3,1,1,2,1,2,2,0,1,-0.7368568629774003,3883
3,1,3,0,2,3,0,3,0,1,1,2,-0.5400662794919301,3909
2,3,3,2,3,1,1,0,0,3,3,2,-0.5400662794919301,3934
1,3,0,0,0,1,0,2,2,2,3,3,-0.7458717930355666,3956
1,2,2,2,0,2,2,1,0,0,2,2,-0.807594929434016,3975
3,3,3,1,2,2,3,3,1,1,0,3,-0.5400662794919301,4003
3,1,3,2,1,3,3,1,3,1,3,0,-0.5310513494337638,4033
1,2,1,2,1,2,3,1,2,0,0,2,-0.5400662794919301,4056
3,3,3,1,3,1,0,1,2,2,0,0,-0.5400662794919301,4080
3,3,3,1,0,0,1,1,2,3,3,0,-0.7278419329192339,4104
1,0,2,0,3,3,3,1,3,1,0,2,-0.27253762954984406,4130
1,3,0,0,0,1,3,0,0,2,0,0,-0.5310513494337638,4149
2,1,2,1,0,1,2,0,3,1,1,2,-0.5400662794919301,4175
2,3,3,3,0,1,1,3,0,2,1,3,-0.27253762954984406,4197
3,3,3,2,1,0,3,0,1,3,3,0,-0.5490812095500964,4224
3,0,2,2,0,1,0,1,3,2,0,3,-0.5400662794919301,4246
2,0,1,1,1,0,3,3,2,1,3,3,-0.5400662794919301,4268
3,3,2,2,1,2,0,2,2,0,0,2,-0.8075949294340162,4292
2,1,0,3,1,2,1,1,3,3,0,1,-0.807594929434016,4318
2,2,2,2,0,3,0,1,3,3,0,3,-0.7368568629774003,4341
2,3,3,0,2,2,0,2,2,1,1,1,-0.5490812095500964,4363
0,1,2,2,3,1,1,1,1,3,3,1,-0.5400662794919301,4392
1,0,3,1,2,0,2,3,1,2,1,1,-1.0661086493179361,4414
0,1,2,3,1,1,2,3,2,2,0,2,-0.7368568629774003,4438
0,2,1,3,0,1,0,3,1,1,1,1,-0.5400662794919301,4461
2,3,2,2,1,1,3,0,0,0,0,1,-0.7278419329192339,4483
1,2,3,2,2,2,3,0,3,2,0,1,-1.0661086493179361,4506
1,2,0,1,3,1,3,0,3,0,0,1,-0.807594929434016,4529
2,2,3,3,2,3,2,1,2,2,3,0,-0.27253762954984406,4550
2,1,3,0,3,0,1,1,2,1,2,2,-0.7368568629774003,4575
3,0,3,2,2,3,3,0,2,0,3,1,-0.7368568629774003,4596
1,0,2,1,2,3,3,2,1,1,1,3,-0.5400662794919301,4623
